weekly_self_study_hours,attendance_percentage,total_score,class
13.7,80.5,80.2,C
24.6,94.4,100,C
0,74.9,50.4,C
25.7,96.2,100,C
5,91.3,65.3,C
13.1,65.4,96,C
12,92,72.6,C
19.1,91.7,94.7,C
3.8,85.1,45.2,C
18.2,100,92.4,C
29.2,89.1,100,C
5.5,100,61.9,C
16.3,85.1,72.5,C
10.4,96.6,62.7,C
18,100,93.8,C
15.1,72,77.2,C
10.5,98.5,69.5,C
18.4,96.8,100,C
27.6,90,99.2,C
13.7,74,91.2,C
20,84,100,C
5.9,87.8,71.9,C
8.3,97.4,55.2,C
18.3,91.9,100,C
25.4,95.6,100,C
17.5,77,81.8,C
12.8,75.6,93.3,C
15,67,85.1,C
6.2,88.8,82.9,C
19.2,77.1,100,C
21.2,69.9,89.7,C
11.8,73,82.2,C
11.7,76.9,67,C
16.9,100,92,C
11.9,86.7,83.5,C
14.5,91.3,91.4,C
29.7,88.7,100,C
13.3,87.7,77.4,C
12.5,67.7,94.2,C
10.5,83.4,76.7,C
20.2,86.8,95.9,C
13.7,80,74.7,C
10.5,80.7,73.8,C
24.2,81.3,97.7,C
24.9,83.7,100,C
10.8,100,91.1,C
1.9,78.1,65.2,C
22.1,89,99.5,C
10.2,75.8,75.9,C
20.5,63.4,94.6,C
1.2,96.8,65.2,C
21.2,75.3,99.5,C
6.5,71.4,67.5,C
20.1,79.7,100,C
15.1,95.6,86.4,C
8.3,87.9,73.9,C
12.2,100,86.1,C
19.8,95.1,95.4,C
15.7,71.4,78.6,C
19.1,80.5,100,C
28.8,76.6,100,C
4.1,72.7,64.8,C
26.3,95.9,100,C
15.7,68.8,89.1,C
8.7,82.5,79.8,C
5.7,91.4,42.3,C
13.7,71.5,67.3,C
21.5,86.7,100,C
14.1,93.7,68.8,C
25.6,65.5,99.4,C
4.8,93.1,66.3,C
14.9,82.8,85.6,C
6.2,80.9,80.8,C
17.5,93.5,100,C
21.2,100,100,C
12.1,70.5,76.6,C
0,95.4,34.9,C
16.4,90.5,77.9,C
18.1,81.9,82.4,C
17.8,87.4,82,C
23.7,78.4,100,C
7.5,71.1,55.3,C
19.8,100,85.8,C
23.3,100,100,C
2.5,98.3,63.7,C
17.2,74.4,88.3,C
11.5,88,90.4,C
14.4,100,89.8,C
17.4,75.8,100,C
11.6,84.2,90.1,C
10.3,84.9,68.5,C
15.2,82,87.4,C
7.4,69.4,86.4,C
7.4,80.3,56.5,C
19.8,91.3,88.6,C
7,95.2,87,C
19.7,91.4,100,C
18.2,83.7,100,C
2.9,89.5,58.5,C
10.3,100,72.3,C
23.4,99.1,93.5,C
8.1,96.1,83.9,C
11.7,93.6,70.8,C
18.2,95.7,100,C
20.5,66.7,98.8,C
13.2,71.5,100,C
10.8,86.1,85.5,C
25,80.8,100,C
27.2,95.3,100,C
21.9,81.4,100,C
15.6,62.4,97.1,C
9.3,78.8,89.1,C
9.2,91.3,81.9,C
18.7,93.7,93.9,C
17.9,80,98.3,C
24.8,66.8,100,C
19.6,90.6,100,C
4.5,88.6,35.2,C
22.4,88.3,100,C
8,88.3,77,C
12.3,79.9,76.9,C
16.8,79.8,86,C
29,81.3,100,C
36.8,81,100,C
19.2,81.9,92.6,C
13.7,100,74.3,C
18.7,78.1,91.8,C
21.2,90.1,96.7,C
12.8,79.6,77.5,C
27.6,93.5,100,C
16.6,74.8,100,C
18.5,100,100,C
19.7,98.4,100,C
18,88.3,99.7,C
20.9,80,97.6,C
10.7,67.2,80.1,C
11.1,88,88.4,C
7.3,85.7,66.3,C
18.1,76.7,100,C
20.5,85.9,100,C
18.2,68.6,100,C
26.7,100,97.2,C
15,83.2,100,C
19.7,100,100,C
7.4,66.1,69.8,C
12.3,82.7,73.9,C
19.9,68.5,100,C
20.9,75,100,C
12.9,96.6,89.9,C
14.5,100,89.8,C
4.4,91.9,66.9,C
12.5,79.6,90,C
21.2,88.7,98.7,C
19,86.9,94.9,C
18.5,92,85.2,C
15.3,83.1,90.5,C
15,73.4,96.5,C
10.4,79.4,84.3,C
19.9,81.3,95.8,C
17.9,89,85.4,C
18.4,82.1,98.8,C
11.3,95.9,91.8,C
0,88.2,24.3,C
22.7,94.9,100,C
11.6,80.9,65.9,C
9,67.2,69.6,C
19.9,87.2,100,C
12.3,67.5,85.8,C
22.4,94,100,C
19.3,93.4,98.9,C
19.8,81.2,100,C
5.4,92.5,83.6,C
23.5,94.8,100,C
16.8,81.4,81.7,C
12.4,87.5,80.4,C
16,73.3,100,C
2.6,96.8,61.8,C
17.9,69.7,100,C
7.8,78.3,78.7,C
5.5,93.1,66.4,C
4.3,83.7,63.9,C
22.8,98.7,100,C
10.6,100,54.7,C
25.7,75.3,100,C
11.2,66.6,63.4,C
3,100,53.2,C
7.2,89.3,74.1,C
23.7,100,100,C
13.9,100,91.2,C
11.2,92,77.5,C
16.1,93.5,89.1,C
18.5,92.7,100,C
22.8,92.2,100,C
25.1,80,100,C
12.5,97.9,97.1,C
5.7,85.7,60.5,C
12.1,90,82.6,C
16.8,86.3,93.4,C
8.3,93.9,73.6,C
8.3,90.3,80.8,C
17.4,87.8,74.2,C
14.7,75.5,77.9,C
15.2,81.9,98.8,C
9.7,86,80.2,C
13.4,79.8,80.4,C
8.5,90.7,87.6,C
21.2,92.5,100,C
22.2,62.8,91.7,C
2.1,72.9,46.2,C
8.5,76,83.6,C
4.5,80.6,54.9,C
10.4,80.2,67.6,C
14.4,81.7,86.6,C
4.9,86.5,44,C
8.5,89.2,71.4,C
8,91.9,87.5,C
16.5,79.7,100,C
15.5,75.6,97.6,C
9.9,98.5,75.4,C
16.2,99.6,84.1,C
11.2,71.3,83.3,C
13.1,83.1,92.9,C
26.7,100,100,C
24.4,85.4,100,C
5.9,68.2,63.3,C
20.8,74.3,96.1,C
20.7,82.4,94.3,C
7,76.2,73.8,C
20.7,92.1,96.9,C
25.8,86.8,100,C
7.1,87.5,57.7,C
8.6,70.9,70.3,C
22.1,71.9,100,C
16.9,81.2,86.7,C
18.9,80.3,96.8,C
17.4,88.7,100,C
17.7,87.5,100,C
5.7,93.2,72.2,C
22.3,86.5,99.8,C
23.2,84.9,100,C
13.4,83.4,87.2,C
14.7,84,84.7,C
4.3,86.8,56.1,C
18.6,92,96.9,C
19,93.3,100,C
14.6,88.4,87.8,C
22.9,78.6,100,C
12.7,75.1,79.5,C
19,77.2,99.5,C
7.9,86.9,79.6,C
14.8,93.6,94.9,C
13.8,63.9,73.8,C
16.6,69.1,88.1,C
12.4,100,67.6,C
14.1,84.1,100,C
20.8,86.9,100,C
11.9,71.1,84.7,C
3.8,76.6,67.7,C
27.2,81,100,C
24.7,74.3,99.6,C
6,68.7,53.9,C
19.8,93.4,98.4,C
11.5,85,81.2,C
16.8,80.1,99.7,C
17.1,93,100,C
13.4,93,89.9,C
9.5,100,87,C
10.2,84.9,73.1,C
8.6,75.9,61.1,C
9.2,80.9,69.2,C
14.5,99.8,83.2,C
10,77.8,68.4,C
19.8,80.1,100,C
25.4,96.4,100,C
10.9,83.7,62.6,C
16.7,100,67.9,C
18.5,98.6,97.5,C
18.3,90.5,90.6,C
15.5,92.4,72,C
20.2,80.5,100,C
18.4,80.8,100,C
6.3,98.5,77.2,C
21.1,93.9,100,C
21.2,96.2,100,C
9.7,88.6,73.5,C
15.3,84.5,85,C
19.8,78.6,75.2,C
13.5,91.2,64,C
22.5,73.5,100,C
31.5,95.8,100,C
9.5,84.5,81.5,C
5.3,93.9,60.9,C
17.1,95.6,76.5,C
20.1,80,87.3,C
13.4,87.9,74,C
25.2,87.3,100,C
5.6,76.4,74.9,C
19.9,99.9,96.9,C
10.8,90.2,88.5,C
27,78.4,100,C
28.9,85.8,100,C
9.6,76.1,82,C
11.2,100,81.2,C
21,89.9,100,C
12.3,86.3,95,C
14.7,78.3,87.5,C
15.2,100,95,C
1.6,85.8,61.9,C
14.9,96.8,78.3,C
10.2,87.3,73.3,C
11.5,90.3,94.1,C
25.1,82.7,100,C
6.2,83,72.9,C
20.7,90.4,100,C
13,69.2,97.9,C
13,79.6,85.8,C
20.5,83.9,100,C
17.4,100,98,C
19,86.3,100,C
21.8,100,93.7,C
12.7,67.7,81.1,C
10.7,75.9,76.6,C
7.4,92.1,61.7,C
9.2,71.3,69.9,C
35.6,81.4,100,C
23.7,88.3,100,C
5.5,78.4,71.4,C
5.7,83.9,58.7,C
18.4,75.5,100,C
18.8,96.3,100,C
18.8,80.6,81.5,C
13.2,69.9,99.8,C
14.1,77,70.3,C
17.3,66.1,88.4,C
15.6,71.7,100,C
0,85.5,34.4,C
13.4,86.9,81.7,C
9,80.4,66.9,C
16.2,90.3,100,C
35.9,98.7,100,C
17.6,89.8,92.9,C
12.8,80,83.7,C
21.5,87.6,100,C
18.4,84.1,99,C
17.9,92.1,100,C
19.2,88.9,82.7,C
29.4,79.5,100,C
7.1,75,74.5,C
18.3,88.8,98.3,C
8.5,94.5,76,C
18.9,99.1,87.2,C
8.6,83.8,71,C
12.1,88.9,84.1,C
12.9,98.4,93.2,C
21.8,94,100,C
21.4,81.6,100,C
6.3,88.8,63.7,C
15.4,85.1,85.6,C
10,79.9,79.9,C
6.2,80.7,59.4,C
13.5,85.7,83.2,C
12.8,79.3,90.3,C
32,81,100,C
18,95.7,89.6,C
5.4,69.2,49.3,C
11,85.4,86.4,C
22.1,83.8,100,C
29.6,74.9,100,C
3.9,86.9,66.1,C
1.8,79.9,36,C
28.1,95,100,C
17.7,87.7,100,C
8.9,90.7,74.3,C
18.7,69.2,98.5,C
0,72.4,48.9,C
15,100,98,C
17.3,89.7,95.4,C
21.5,78.6,100,C
7.9,100,65.7,C
15.6,84.8,98.1,C
8.5,80.7,87.8,C
16.8,80.3,82.1,C
8.7,70.9,59.2,C
12.1,90.8,99.2,C
8,94.6,55.2,C
19.6,97.1,92.1,C
21,76.7,89.2,C
13.4,85.3,76.8,C
15.3,79,100,C
4.9,85,71.1,C
12.9,79.7,92.4,C
14.6,70.9,76.7,C
33.3,100,100,C
7.2,85.6,72.6,C
25.2,91.6,100,C
22,100,91,C
17,86.5,90.2,C
27.3,100,100,C
17.6,91.5,100,C
17.7,61.1,100,C
14.6,80,79.5,C
23.6,67.2,100,C
22.7,80.6,100,C
10.6,73.9,53.1,C
5.8,94.8,52.5,C
13.6,84.5,73.7,C
9.4,76.8,81.5,C
14.6,95.4,94.6,C
23.7,82.4,100,C
11.8,89,75.4,C
14.7,73.5,100,C
15.4,81.3,89.3,C
20.9,92.4,100,C
0,100,61.6,C
10.8,85.5,82.2,C
16.5,90,97.3,C
23.4,100,100,C
11.6,66.9,78.6,C
1.9,83.8,56,C
19.3,90.6,95.2,C
10.6,79.6,88.4,C
6.7,78.6,55.3,C
10.6,65.5,67.7,C
13.7,97.7,68.7,C
10.8,68.1,68.5,C
0,89.4,43.8,C
21.3,88,100,C
23.9,76.3,98.1,C
19.6,78,88.6,C
7,93.7,83.7,C
13.6,87.3,94.6,C
15,81.5,65,C
19.2,80.8,84.3,C
19.7,76.7,98.4,C
9.9,92.5,66.5,C
15.6,94.3,73.6,C
18.2,87.8,100,C
25.2,93.1,100,C
19.9,81.8,76.5,C
20.5,88.2,97.6,C
15.6,75.9,86.9,C
24.9,85,100,C
17.9,98.2,90.3,C
9,83.5,71,C
24.8,87,100,C
19.9,84.4,88,C
11.9,94.1,73,C
11.6,84,81.2,C
17.1,75.5,89.9,C
18.2,83.1,99.2,C
16.4,95.7,81.8,C
17.2,83.8,100,C
26.9,85.7,100,C
22.5,76.4,100,C
16.3,66,87.7,C
21.6,95.2,100,C
7.8,75.3,74.9,C
17.8,95.7,84.8,C
27.7,85.9,100,C
13.5,78.7,88.6,C
9.1,75.4,59.1,C
10.4,100,78.5,C
7.4,88.3,64.9,C
9.5,91.5,82.8,C
12.4,93.1,61.1,C
5.2,80.4,64.3,C
15.1,82.7,92.1,C
21.3,88.5,100,C
8.6,72.2,71.3,C
25.6,61.8,100,C
18.6,88.9,92.3,C
22.2,89.4,100,C
10.4,98.8,64.5,C
21,97,94.7,C
7.4,83.3,47.3,C
21.2,90.7,98.6,C
16.2,68.1,78.6,C
18.9,69.1,100,C
6.8,92,73.3,C
8.7,86.5,66.7,C
19.2,100,100,C
8.4,95.4,73,C
18.2,100,92.9,C
5.4,83.9,56.5,C
20.9,89.8,94.3,C
6.4,86.5,50.1,C
18.9,92.1,100,C
19.4,89.5,98.9,C
10.1,78.6,82.1,C
19.1,70.4,93.1,C
16.8,92.1,78,C
11.2,85,83.3,C
7.9,86.8,62.8,C
1.3,100,69,C
17.4,93.5,90.5,C
4,82.4,73.6,C
15.7,85.8,92.5,C
13.2,98.1,85.3,C
19.8,88.6,100,C
12.9,93,74.7,C
12.7,75,90.1,C
20.1,80.8,100,C
17.3,81.7,89.9,C
17.2,91.4,99.2,C
18.3,98.4,88.1,C
4.3,92.9,79.4,C
20.3,92.2,100,C
19.3,88.9,74.6,C
7.9,100,76.9,C
13.3,91.2,73.1,C
14.7,81.6,81.2,C
14.1,83,99.9,C
17.3,77.8,100,C
25,80.7,100,C
22.6,77.5,100,C
5.8,75.5,63.4,C
19.4,89.2,100,C
24.3,92.5,100,C
17.7,73.8,96.4,C
22.6,82.7,95,C
29.1,74.5,100,C
22.2,95.2,100,C
16.7,77.9,100,C
22.3,70.2,100,C
16,93.5,97.8,C
15.2,94.6,82.7,C
12.5,69.1,66.6,C
25.9,78.8,100,C
9.3,100,84.1,C
25.7,71.3,100,C
18.5,71.3,93.7,C
5.2,74.5,72.7,C
17.6,72.8,100,C
0.3,90.7,50,C
19.4,94.7,100,C
21.2,71.4,100,C
10.9,99.7,90,C
15.9,70,83,C
28.7,87.1,100,C
11.5,91.7,74.2,C
7.6,100,67.9,C
25.4,100,100,C
28.7,78,100,C
15,90.9,81.8,C
22.1,81.3,99.7,C
24.4,100,100,C
9.8,72.6,80,C
11.6,80,56.7,C
23.6,72.3,100,C
26.8,80.9,100,C
18.9,78.2,100,C
8.8,71.4,81,C
28.9,87.2,100,C
11.3,84.9,72.1,C
12.7,97.7,82.1,C
17.4,100,96.4,C
25.9,85.2,100,C
21,74.6,100,C
17.9,87.6,100,C
18.2,77.8,95,C
15.3,79.2,81.9,C
18.9,71.3,71.2,C
0,83.4,55.4,C
12.9,79.2,75.4,C
16.7,78.3,83.2,C
6.9,85.3,64.5,C
17.7,99.5,96.1,C
13.6,69.5,99.8,C
27.3,100,100,C
26,78.2,99.2,C
11.7,94.8,91.2,C
13.9,77,78.1,C
14.5,97.1,86.3,C
11.8,74.1,69.8,C
16.4,90.3,97.5,C
9.7,78.6,89,C
7.1,100,66.1,C
19.4,86.9,100,C
19.4,80.6,94.1,C
9.4,98.6,85.3,C
21.3,100,96.2,C
10.6,88.6,79.1,C
16.8,88.3,84.7,C
20.7,86.5,100,C
14.8,84,87,C
18.2,94.9,89.5,C
11.4,97.7,88,C
13.6,74.7,98.2,C
13.6,72.7,86,C
9.8,76.3,79.7,C
13.8,97.5,73.3,C
4.2,97.1,62.8,C
11.6,80,76.9,C
13,81.8,91,C
13.2,69.4,85.3,C
13.3,83.2,89.2,C
14.6,92.3,95.8,C
18.4,96.3,99.2,C
21.1,73.7,92.2,C
10.5,80.1,68.9,C
6.6,76.8,89.3,C
7.7,94.9,65.7,C
11.6,82,72.2,C
12.5,90.6,81.6,C
9.6,83.6,75.6,C
5.9,99.1,61.6,C
11.8,83.9,87.4,C
16.3,83.7,99,C
19.2,88.4,100,C
11.1,86.7,74,C
12.1,78.7,92.7,C
8.5,96.2,70,C
14.8,76.3,68.7,C
9.1,82.4,66.2,C
19,79.7,99.3,C
2.5,73.6,57,C
12.5,74.8,84.5,C
17.1,95.1,83.3,C
16.3,93.2,86.7,C
33.9,72.7,100,C
17.4,77.4,90.4,C
8,80,58.2,C
14.3,87.4,86.5,C
2.6,89.2,54.6,C
14.4,81.1,100,C
9.2,82.4,75.4,C
21.4,79.1,92.4,C
11.2,72.8,80.8,C
14.2,82,86.4,C
10.6,70.4,82.4,C
27.2,67.2,100,C
12.8,83.9,72.2,C
27.8,72.7,100,C
20.7,77.3,100,C
18.4,81.4,96.7,C
17.6,78.1,86.2,C
17.8,97.9,98.2,C
1.5,98.3,43.2,C
13,66,84.4,C
20.9,85.7,84.6,C
14.7,97.1,97,C
5.2,83.7,65.1,C
14.6,69.8,86.1,C
26.9,68.8,100,C
23.7,80.8,100,C
14.6,100,67,C
21.7,84.5,93.7,C
12.4,76.9,77.6,C
3.1,90.1,44.8,C
8.5,98,63.7,C
25.9,74,100,C
13.1,87,80.1,C
13.3,96.1,88.8,C
12.9,81.4,93,C
28.3,73.9,100,C
26.4,63.1,100,C
30.5,83.3,100,C
13.9,86.7,82.6,C
17.1,80.1,100,C
4.4,89.9,61.4,C
25.3,82.6,100,C
6.8,100,64.5,C
16.5,85.7,100,C
7.3,93.4,61.4,C
10.9,95.3,91.4,C
9.1,79.2,73.1,C
10.7,73.4,89.3,C
11.2,100,60.6,C
11.2,65.4,84.3,C
20.8,76.7,98.6,C
7.3,88,71.6,C
16.5,96.1,73.2,C
23.5,91.9,100,C
11.4,76.5,86.6,C
10,90.1,64.5,C
13.4,71.6,71.9,C
23.3,72.5,93.5,C
16.4,78.4,83.5,C
11.3,74,79.8,C
18.4,88.8,95.5,C
7.3,86.8,47.7,C
19.8,79.9,100,C
17.9,88.5,85.5,C
12.8,96.3,82.9,C
9.1,75.6,71.7,C
8.8,78.5,60.3,C
18.7,79.5,91.3,C
23.6,91.9,100,C
10.5,100,76.7,C
18.2,93.5,89.4,C
0.4,82.7,50.8,C
10.9,83.5,83.8,C
14.8,83.7,73.8,C
8.6,66.2,60.8,C
8.4,80.4,73.8,C
10.3,80.2,74.8,C
17,71.6,73.5,C
13.7,100,90.7,C
0,73.6,51.1,C
0.2,85.5,66,C
10.8,87.4,74.6,C
18.2,81.8,96,C
0,91.1,68,C
11.5,75.7,86.1,C
11.3,74.9,78.1,C
24.7,88.8,100,C
12.3,84.3,87.4,C
17.7,74,74.1,C
16,91.8,90.3,C
0.1,75.7,52.1,C
20.4,100,100,C
16.5,68.7,88.5,C
18.6,83.9,98.7,C
40,75.7,100,C
0.4,98.6,51.7,C
27.1,82.2,100,C
13,97.8,64.6,C
17,69.1,82.3,C
14.7,97.7,69.4,C
12,99.3,71.2,C
11,77.6,76.2,C
17.3,93.5,100,C
4.4,81.6,45.8,C
20.3,97,100,C
12.1,75.6,71.7,C
7.1,85.1,75.7,C
11.8,78.3,84.3,C
23.8,83.7,100,C
11.3,92.9,86.3,C
17.5,84.3,100,C
9.9,97.2,86.9,C
20.3,81.9,94.3,C
19.8,88,100,C
27.9,87.7,100,C
13.8,75.9,76.6,C
19.7,100,97.5,C
15.7,100,87.7,C
24.1,86.9,98.4,C
10,87.8,79.9,C
20.2,100,97.1,C
13.6,83.2,79.8,C
14.6,90.3,73.4,C
15.6,86,88.3,C
16.8,70.8,85.2,C
14.2,87.8,75.7,C
16.5,85,95.6,C
26,75.8,100,C
21.9,85.6,100,C
21.1,65.3,100,C
11.8,95.6,67.6,C
8.8,80.5,61.6,C
21.7,100,95.1,C
21.1,93.2,100,C
25.3,94.3,100,C
10.8,86.4,85.3,C
13.4,87.6,100,C
3.5,75.4,65.4,C
12.3,77.3,78.8,C
22,81.7,100,C
11.7,82.1,68.9,C
19.5,95.7,86.3,C
13.7,86.5,97.8,C
17.3,65.5,96.7,C
7,77,33.8,C
15.6,94.4,81.5,C
0,74.3,66.1,C
13.7,78,71.9,C
3.6,83.3,73,C
23.4,93.5,93.4,C
20.4,82,100,C
18.3,81.6,90.9,C
25.6,69.3,100,C
8.4,75,73.5,C
27.2,92.7,100,C
21.5,87.1,100,C
13.3,89.4,90.6,C
22.9,67.6,100,C
7.3,85.2,71.5,C
9.2,84.5,81.1,C
10.7,82.2,80.5,C
11.3,72.3,78.7,C
7.6,79.6,74,C
23.6,100,100,C
13.2,92,87.1,C
17.5,77.5,91.4,C
11,84,76,C
2.3,63.1,67.5,C
16.9,80.5,100,C
1.6,80.9,57.9,C
14.5,100,92.4,C
5.4,74.6,63.9,C
28.9,96.4,100,C
21.4,86.4,96.6,C
15.7,71.8,100,C
23.8,96.3,100,C
9.1,82.7,94.6,C
18.8,90.8,96.8,C
16.4,100,96.6,C
16.8,76.8,79.9,C
23.9,93.8,100,C
20.1,77.1,100,C
17,88.1,86.5,C
3.4,86.8,61.2,C
8.3,85.6,67.9,C
14.1,79.7,74.5,C
15.7,91,90.1,C
7.1,83.3,77.5,C
31.9,100,100,C
25.6,90.1,100,C
19.2,81.7,84.6,C
15.5,85.7,88.5,C
13.5,82.7,93.6,C
8.3,89,71,C
15.5,98.2,93.2,C
16.8,86.5,90.2,C
6.3,88.8,68.5,C
17.3,73.9,83,C
13.9,74.7,84.3,C
